Crop Type,Season,Rainfall (mm),Temperature (°C),Humidity (%),Soil Fertility Index,Fertilizer Usage,Market Demand Index,Transportation Cost,Crop Price
Soybean,Zaid,748.9634886778631,29.313806760962663,55.38232681259696,0.9127471799648972,227.14666299500783,0.9684335003611634,366.6134077815311,8194.53
Apple,Zaid,532.8520111532264,31.863418176679943,72.35458220401046,0.9018322226067594,138.55519930503266,1.129821757680061,1377.3330553643632,9756.68
Rubber,Zaid,1353.680956954052,17.775733369441433,62.53764361392769,0.3747702577421651,164.97647601615407,1.452264859981343,666.3749949161343,17669.33
Turmeric,Rabi,873.0304771239641,24.150574572396863,36.424738952239764,0.5279247073626029,231.76893302923813,1.2701237722294314,277.64032409391973,12740.88
Beetroot,Zaid,1345.099560828858,18.606966600743107,50.03731173224393,0.7122894483376877,102.59779200894002,0.7573884234691728,1008.593824201822,4564.5
Tomato,Kharif,389.00089501813886,20.73921973120715,30.224529687785214,0.5366862980141582,162.72903563634094,1.0768471424422428,1287.8632916790784,3643.87
Kidney Beans,Kharif,760.2254374136626,37.90506885898829,53.04639769920601,0.48404645166215954,148.89231026241112,0.9185726571585455,1200.6798716565552,9030.26
Coconut,Kharif,854.9975647494233,25.75783562147292,71.55261733808592,0.32523143613747724,191.47028357200918,0.7567298846688489,453.7629365906642,5990.01
Kidney Beans,Rabi,780.9921520806266,31.981161391669954,80.54434985494515,0.9308691915956031,274.61721647162,1.4251882502495066,1928.8037014655326,10714.01
Drumstick,Zaid,1255.4101778315446,31.94688318439184,86.34356032127158,0.6533245970780355,240.00040849634792,1.4573814240960659,1142.2821156708246,8913.27
Custard Apple,Zaid,615.5729532856369,28.41692503407502,45.11041927284106,0.8306321415207107,260.3166395635087,0.5817740549487759,869.6809125081929,8041.67
Blueberry,Kharif,507.6798219410222,38.38639347368008,56.38746752174523,0.9775519783589568,229.936236924276,0.824749169981778,378.25224834762656,18045.9
Chilli,Zaid,1110.5601268648493,24.068921665615157,43.35409668225758,0.9472279214435695,179.8266332863436,1.0211798858783903,602.4637055648233,13492.29
Strawberry,Zaid,1284.1031559294067,19.542154413222114,85.83979554354553,0.7935862787104266,153.0783436207336,1.1559319779636525,1126.3753578536562,12433.83
Almond,Zaid,1467.9552723469646,23.761115234306036,31.887693016299465,0.5433032718229557,169.161396062122,1.0355618012635541,1878.9495889466693,20860.45
Cauliflower,Kharif,1020.256187423851,36.193157474715676,38.35383126364837,0.3143235206983565,188.64616333670207,1.4572459152200092,1380.356292629518,5359.26
Cherry,Zaid,255.47480684793888,27.883536442009106,33.09699613465321,0.46034545663049986,76.53671698356686,0.5374556786367976,1550.404386247236,15409.21
Guava,Rabi,1160.7951913191105,19.314634504971714,42.70745436866359,0.7800617597427519,83.87513652997166,1.400743911668151,265.9812852414271,7796.64
Custard Apple,Zaid,262.4369156731759,28.991348174925136,76.05180885085146,0.9118558017650147,74.84396373724074,0.7506399994670004,590.712513997314,7741.49
Plum,Zaid,1289.1251940756583,19.216005543822767,55.54905537993592,0.31189275052967325,170.05084626025086,1.4941619855528532,1876.3065281471067,8281.0
Pear,Zaid,748.4351800682002,27.883149512246135,70.21704759630393,0.9169054421492326,160.97999817568387,1.2961769338553997,1758.9674201836629,8740.16
Cardamom,Kharif,1161.8099577756332,15.945560658239186,57.5096091517416,0.535935226717805,298.9318517715897,0.558030864851517,522.935941659335,27592.83
Jackfruit,Rabi,269.0912455858598,25.450138756331427,54.4428358277105,0.3039631141955681,246.9645697877881,0.8086410414540283,1960.6616557488942,5039.54
Papaya,Zaid,902.1485771488616,24.138206784387275,74.3997720635131,0.6784124879015504,137.4326736409922,1.247970175380844,1915.4638985253134,6764.23
Peas,Rabi,672.879846888919,28.67957389049211,34.004317402656326,0.9971091786835184,122.12713118466321,1.0536591229121983,1986.5617566144547,7199.42
Amaranth,Rabi,913.7475113530403,17.17896490689123,54.8640015712197,0.793507520962695,288.4554258655925,1.345680357232372,939.2496361358071,9641.67
Orange,Kharif,530.4096608867123,18.708865564298787,62.84633214462523,0.3664078907280722,79.81860493333441,0.8047597383569848,641.5525249050245,7930.1
Coffee,Kharif,249.72722383550587,30.079410839124566,54.69212405431304,0.9130974828761294,113.42167328191906,1.3745965473138244,1849.571745048707,19581.41
Ginger,Kharif,284.1262663544962,35.87212604578366,75.02202704507143,0.5987423833410943,234.36973931032384,1.057809005473009,882.3398781511175,11753.88
Cotton,Rabi,1017.7219680723069,34.94035901371832,31.392300333554534,0.5398250846651824,279.2033775756713,0.6297304017713786,635.1652702832929,8499.16
Bitter Gourd,Zaid,537.5582730454107,15.193018819755327,81.24388848513296,0.5764928446804326,105.17223216642509,0.5155882419586127,963.8468095912871,3772.87
Litchi,Kharif,916.5274462717655,17.537896782872338,72.25506217085473,0.8088289979269543,224.75389636287056,0.9060000561796414,1735.4546383870759,10306.44
Capsicum,Kharif,524.2149866169825,37.39827275958564,67.62714317014449,0.3685148501367546,126.65532003290551,1.0554260072242239,1172.3433311408708,5046.35
Maize,Rabi,916.2581185623333,39.046855330578445,63.71382834010867,0.5094319642447457,179.80197271433445,1.4668971927843286,1065.228732075529,5466.62
Spinach,Rabi,1439.9028851682951,22.034830290691566,44.95499643401581,0.7026912266627183,158.97350810328996,0.8206883565590273,627.502777765492,4055.09
Sunflower,Rabi,1404.9796622854124,35.18274155055094,83.07937395583828,0.6410710196946696,276.3171046906508,1.188088568174242,848.8243673526998,9064.04
Fig,Kharif,1110.0857189165815,20.46382941218488,86.62685133593419,0.5985761806594048,158.26035946974417,0.7509892244295716,1308.0590685377495,11464.24
Jackfruit,Kharif,1255.20988098607,22.94191138254705,89.47815426890813,0.5718903739507671,272.1591153267471,1.2361677376768414,923.5786460465022,7087.0
Turmeric,Kharif,870.2852508879954,23.502455615174878,73.48333334850744,0.5642113585464948,176.82954558794586,0.6487274030018527,1941.4535253441982,11662.1
Amaranth,Kharif,352.06119297037355,16.174885129179494,74.13951554549294,0.4085917406586655,114.54157996999838,0.7860002684895643,1657.5369844684753,7496.35
Fig,Zaid,945.0408015846408,33.277190560545286,80.07648854569888,0.36538630826937935,248.13156065522313,1.301598572265462,1893.6668123512268,12259.72
Cashew,Rabi,846.6076853931382,28.90730973623672,76.39020795935429,0.8209730045692809,51.18683158404656,0.9713026533923288,461.5247876181402,18298.25
Amaranth,Kharif,735.4835400476602,16.35859495089465,67.54610495262293,0.6106298007225298,183.0987841916091,0.9668505900950854,236.00089242348872,8812.93
Pineapple,Zaid,1132.414676717011,32.76460481924974,57.62539583029108,0.3336027747008796,96.7597850281283,1.1353906416650357,433.72730273066975,7532.03
Chilli,Zaid,1002.2527976723657,37.972106021734206,85.5261943867651,0.9418937387302062,82.7375432068446,1.2696470655082155,1630.2511080960294,13364.94
Coconut,Rabi,855.5458361926991,27.262786457734876,64.57089341676277,0.9610902285679432,250.53086523316142,0.8521119271894999,979.9948857309004,6689.99
