Crop Type,Season,Rainfall (mm),Temperature (°C),Humidity (%),Soil Fertility Index,Fertilizer Usage,Market Demand Index,Transportation Cost,Crop Price
78,2,748.96,29.31,55.38,0.91,227.15,0.97,366.61,8194.53
87,1,873.03,24.15,36.42,0.53,231.77,1.27,277.64,12740.88
47,0,760.23,37.91,53.05,0.48,148.89,0.92,1200.68,9030.26
26,0,855.0,25.76,71.55,0.33,191.47,0.76,453.76,5990.01
47,1,780.99,31.98,80.54,0.93,274.62,1.43,1928.8,10714.01
32,2,615.57,28.42,45.11,0.83,260.32,0.58,869.68,8041.67
24,2,1110.56,24.07,43.35,0.95,179.83,1.02,602.46,13492.29
21,0,1020.26,36.19,38.35,0.31,188.65,1.46,1380.36,5359.26
41,1,1160.8,19.31,42.71,0.78,83.88,1.4,265.98,7796.64
63,2,748.44,27.88,70.22,0.92,160.98,1.3,1758.97,8740.16
17,0,1161.81,15.95,57.51,0.54,298.93,0.56,522.94,27592.83
62,2,902.15,24.14,74.4,0.68,137.43,1.25,1915.46,6764.23
64,1,672.88,28.68,34.0,1.0,122.13,1.05,1986.56,7199.42
1,1,913.75,17.18,54.86,0.79,288.46,1.35,939.25,9641.67
29,1,1017.72,34.94,31.39,0.54,279.2,0.63,635.17,8499.16
9,2,537.56,15.19,81.24,0.58,105.17,0.52,963.85,3772.87
50,0,916.53,17.54,72.26,0.81,224.75,0.91,1735.45,10306.44
51,1,916.26,39.05,63.71,0.51,179.8,1.47,1065.23,5466.62
35,0,1110.09,20.46,86.63,0.6,158.26,0.75,1308.06,11464.24
87,0,870.29,23.5,73.48,0.56,176.83,0.65,1941.45,11662.1
35,2,945.04,33.28,80.08,0.37,248.13,1.3,1893.67,12259.72
19,1,846.61,28.91,76.39,0.82,51.19,0.97,461.52,18298.25
1,0,735.48,16.36,67.55,0.61,183.1,0.97,236.0,8812.93
65,2,1132.41,32.76,57.63,0.33,96.76,1.14,433.73,7532.03
24,2,1002.25,37.97,85.53,0.94,82.74,1.27,1630.25,13364.94
26,1,855.55,27.26,64.57,0.96,250.53,0.85,979.99,6689.99
75,1,793.36,35.98,70.73,0.53,222.64,0.78,903.14,252863.44
83,0,935.97,15.32,60.61,0.59,278.73,1.1,1393.75,23406.93
91,1,982.88,37.81,66.04,0.67,181.94,0.87,789.96,5678.92
10,2,1158.5,26.18,31.25,0.89,117.73,0.62,1249.42,20777.94
79,2,1089.14,30.04,54.09,0.5,212.59,1.42,598.43,4901.81
19,1,688.73,22.57,68.69,0.66,109.91,0.87,918.63,18216.1
22,1,1045.7,33.88,78.11,0.49,259.6,1.21,289.04,9180.67
85,1,1095.28,20.06,83.87,0.46,261.26,1.39,1521.58,5001.84
38,0,1117.77,21.15,45.76,0.56,287.1,1.25,830.62,11919.05
87,2,1102.95,29.57,77.53,0.71,65.1,1.37,1308.93,12931.51
86,1,605.23,24.44,52.72,0.35,263.69,1.26,1336.61,10381.16
68,2,829.72,15.91,37.37,0.85,53.44,1.03,1296.76,10506.45
51,0,1157.46,29.9,63.4,0.57,161.32,1.26,1774.11,5245.15
50,1,572.78,20.09,68.99,0.4,201.74,0.52,1161.78,9105.15
19,1,1054.28,25.12,64.58,0.91,73.08,0.59,839.01,17906.1
23,0,946.99,30.78,43.71,0.99,273.7,0.99,987.97,17786.69
81,2,787.72,19.75,84.82,0.79,268.49,1.49,651.1,4756.09
91,0,691.49,15.3,53.56,0.39,296.03,1.44,345.63,5955.25
80,0,878.11,37.81,62.96,0.43,272.38,1.15,1290.66,12539.29
26,0,924.68,15.84,52.17,0.44,185.4,0.78,923.57,5732.7
29,1,1043.65,39.52,86.74,0.97,246.93,1.23,1241.24,9413.27
65,1,701.49,16.4,63.0,0.68,282.47,1.17,1697.95,7820.57
63,1,960.68,33.35,44.71,0.89,229.06,1.1,1451.51,8624.59
91,0,1066.32,25.84,34.21,0.64,213.88,1.02,1496.83,5636.82
42,0,636.02,32.36,80.81,0.92,150.25,1.13,628.6,12527.81
16,1,920.56,34.24,54.6,0.79,211.11,0.52,1968.18,4618.82
50,0,925.18,35.6,61.91,0.78,60.91,1.39,455.34,11287.47
71,0,660.36,30.43,70.53,0.73,60.7,0.94,1942.96,14438.74
91,2,1142.5,26.84,57.57,0.96,75.9,1.09,772.91,5774.34
60,1,977.32,16.83,61.06,0.93,203.6,1.12,980.65,5264.35
74,2,881.79,29.42,37.15,0.95,182.41,1.46,710.39,18051.8
76,1,1080.13,35.75,85.85,0.89,167.23,1.23,1524.32,12337.34
73,2,544.47,33.41,33.16,0.37,136.36,1.27,1890.22,4448.81
15,1,1162.84,17.03,89.26,0.8,84.35,0.67,1108.01,4014.1
49,2,1023.77,36.98,86.05,0.55,245.52,1.44,452.89,5300.61
7,2,909.4,35.52,56.35,0.57,298.69,1.34,577.87,6312.64
53,2,538.82,23.16,59.29,0.96,183.78,0.7,1425.94,8970.27
78,2,550.17,30.44,30.8,0.63,126.88,1.11,1749.7,7173.92
31,2,692.5,24.63,65.45,0.95,263.58,0.95,1669.18,18776.56
30,1,716.63,36.86,81.6,0.79,107.3,1.16,205.48,5052.4
19,2,708.21,32.33,63.42,0.46,232.2,0.72,1580.48,17550.44
81,2,917.0,31.63,75.36,0.89,193.72,1.07,1611.68,3496.97
13,0,539.24,26.79,49.41,0.72,107.75,1.47,802.9,5931.67
82,1,1038.58,27.8,43.05,0.81,261.38,0.64,694.39,8128.56
47,0,1013.67,21.51,58.12,0.31,274.31,1.11,685.81,10285.95
86,1,1042.37,34.5,36.91,0.86,270.32,0.96,1366.99,10663.95
66,0,1056.24,25.28,66.33,0.54,72.25,1.37,877.7,23756.88
59,2,1087.51,38.77,85.43,0.55,223.4,1.19,361.46,6352.9
91,1,628.31,38.88,83.24,0.38,143.65,0.66,1895.64,4051.01
28,2,894.79,28.82,48.0,0.36,137.82,0.58,788.89,9018.01
75,2,1024.58,16.38,61.32,0.3,184.51,1.24,1453.31,252821.23
46,2,750.25,22.32,78.62,0.89,99.53,0.7,680.89,7402.06
78,0,954.35,19.47,80.9,0.71,233.65,0.65,661.43,7663.55
53,1,1151.16,33.99,87.71,0.8,152.53,1.13,541.75,10066.32
89,2,717.23,35.26,34.62,0.66,282.46,0.73,1320.33,19763.52
88,1,565.51,39.42,62.58,0.83,185.86,1.45,1124.58,10685.21
